/opt/conda/lib/python3.9/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
: 0.0009954337899543378, 'epoch': 0.02}
{'loss': 0.4439, 'learning_rate': 0.000932648401826484, 'epoch': 0.27}
{'loss': 0.4543, 'learning_rate': 0.0009315068493150685, 'epoch': 0.27}
{'loss': 0.4274, 'learning_rate': 0.000930365296803653, 'epoch': 0.28}
{'loss': 0.4003, 'learning_rate': 0.0009292237442922374, 'epoch': 0.28}
{'loss': 0.4479, 'learning_rate': 0.000928082191780822, 'epoch': 0.29}
{'loss': 0.4468, 'learning_rate': 0.0009269406392694064, 'epoch': 0.29}
{'loss': 0.435, 'learning_rate': 0.0009257990867579908, 'epoch': 0.3}
{'loss': 0.4871, 'learning_rate': 0.0009246575342465754, 'epoch': 0.3}
{'loss': 0.4411, 'learning_rate': 0.0009235159817351598, 'epoch': 0.31}
{'loss': 0.4549, 'learning_rate': 0.0009223744292237442, 'epoch': 0.31}
{'loss': 0.512, 'learning_rate': 0.0009212328767123288, 'epoch': 0.32}
{'loss': 0.4723, 'learning_rate': 0.0009200913242009132, 'epoch': 0.32}
{'loss': 0.4161, 'learning_rate': 0.0009189497716894977, 'epoch': 0.32}
{'loss': 0.4269, 'learning_rate': 0.0009178082191780823, 'epoch': 0.33}
{'loss': 0.4633, 'learning_rate': 0.0009166666666666666, 'epoch': 0.33}
{'loss': 0.4863, 'learning_rate': 0.0009155251141552512, 'epoch': 0.34}
{'loss': 0.4437, 'learning_rate': 0.0009143835616438357, 'epoch': 0.34}
{'loss': 0.4598, 'learning_rate': 0.0009132420091324201, 'epoch': 0.35}
{'loss': 0.4621, 'learning_rate': 0.0009121004566210046, 'epoch': 0.35}
{'loss': 0.4547, 'learning_rate': 0.0009109589041095891, 'epoch': 0.36}
{'loss': 0.4318, 'learning_rate': 0.0009098173515981736, 'epoch': 0.36}
{'loss': 0.4637, 'learning_rate': 0.000908675799086758, 'epoch': 0.37}
{'loss': 0.5088, 'learning_rate': 0.0009075342465753425, 'epoch': 0.37}
{'loss': 0.4638, 'learning_rate': 0.000906392694063927, 'epoch': 0.37}
{'loss': 0.4946, 'learning_rate': 0.0009052511415525114, 'epoch': 0.38}
{'loss': 0.4037, 'learning_rate': 0.0009041095890410959, 'epoch': 0.38}
{'loss': 0.4327, 'learning_rate': 0.0009029680365296804, 'epoch': 0.39}
{'loss': 0.5217, 'learning_rate': 0.0009018264840182648, 'epoch': 0.39}
{'loss': 0.4776, 'learning_rate': 0.0009006849315068494, 'epoch': 0.4}
{'loss': 0.4511, 'learning_rate': 0.0008995433789954338, 'epoch': 0.4}
{'loss': 0.4496, 'learning_rate': 0.0008984018264840182, 'epoch': 0.41}
{'loss': 0.4612, 'learning_rate': 0.0008972602739726028, 'epoch': 0.41}
{'loss': 0.4603, 'learning_rate': 0.0008961187214611872, 'epoch': 0.42}
{'loss': 0.5169, 'learning_rate': 0.0008949771689497716, 'epoch': 0.42}
{'loss': 0.4149, 'learning_rate': 0.0008938356164383562, 'epoch': 0.42}
{'loss': 0.4578, 'learning_rate': 0.0008926940639269406, 'epoch': 0.43}
{'loss': 0.4739, 'learning_rate': 0.0008915525114155252, 'epoch': 0.43}
{'loss': 0.476, 'learning_rate': 0.0008904109589041097, 'epoch': 0.44}
{'loss': 0.4211, 'learning_rate': 0.0008892694063926941, 'epoch': 0.44}
{'loss': 0.4569, 'learning_rate': 0.0008881278538812786, 'epoch': 0.45}
{'loss': 0.4727, 'learning_rate': 0.0008869863013698631, 'epoch': 0.45}
{'loss': 0.4366, 'learning_rate': 0.0008858447488584475, 'epoch': 0.46}
{'loss': 0.4548, 'learning_rate': 0.000884703196347032, 'epoch': 0.46}
{'loss': 0.4535, 'learning_rate': 0.0008835616438356165, 'epoch': 0.47}
{'loss': 0.4328, 'learning_rate': 0.000882420091324201, 'epoch': 0.47}
{'loss': 0.4148, 'learning_rate': 0.0008812785388127854, 'epoch': 0.47}
{'loss': 0.4181, 'learning_rate': 0.0008801369863013699, 'epoch': 0.48}
{'loss': 0.4196, 'learning_rate': 0.0008789954337899544, 'epoch': 0.48}
{'loss': 0.4263, 'learning_rate': 0.0008778538812785388, 'epoch': 0.49}
{'loss': 0.4838, 'learning_rate': 0.0008767123287671232, 'epoch': 0.49}
{'loss': 0.4602, 'learning_rate': 0.0008755707762557078, 'epoch': 0.5}
{'loss': 0.4722, 'learning_rate': 0.0008744292237442922, 'epoch': 0.5}
{'loss': 0.4053, 'learning_rate': 0.0008732876712328768, 'epoch': 0.51}
{'loss': 0.4241, 'learning_rate': 0.0008721461187214612, 'epoch': 0.51}
{'loss': 0.4781, 'learning_rate': 0.0008710045662100456, 'epoch': 0.52}
{'loss': 0.3783, 'learning_rate': 0.0008698630136986301, 'epoch': 0.52}
{'loss': 0.4361, 'learning_rate': 0.0008687214611872146, 'epoch': 0.53}
{'loss': 0.4481, 'learning_rate': 0.000867579908675799, 'epoch': 0.53}
{'loss': 0.4809, 'learning_rate': 0.0008664383561643835, 'epoch': 0.53}
{'loss': 0.4197, 'learning_rate': 0.0008652968036529681, 'epoch': 0.54}
{'loss': 0.4368, 'learning_rate': 0.0008641552511415526, 'epoch': 0.54}
{'loss': 0.4378, 'learning_rate': 0.000863013698630137, 'epoch': 0.55}
{'loss': 0.4831, 'learning_rate': 0.0008618721461187215, 'epoch': 0.55}
{'loss': 0.3923, 'learning_rate': 0.000860730593607306, 'epoch': 0.56}
{'loss': 0.4321, 'learning_rate': 0.0008595890410958904, 'epoch': 0.56}
{'loss': 0.4665, 'learning_rate': 0.0008584474885844749, 'epoch': 0.57}
{'loss': 0.4285, 'learning_rate': 0.0008573059360730594, 'epoch': 0.57}
{'loss': 0.3883, 'learning_rate': 0.0008561643835616438, 'epoch': 0.58}
{'loss': 0.3972, 'learning_rate': 0.0008550228310502284, 'epoch': 0.58}
{'loss': 0.4528, 'learning_rate': 0.0008538812785388128, 'epoch': 0.58}
{'loss': 0.4589, 'learning_rate': 0.0008527397260273972, 'epoch': 0.59}
{'loss': 0.3961, 'learning_rate': 0.0008515981735159818, 'epoch': 0.59}
{'loss': 0.4218, 'learning_rate': 0.0008504566210045662, 'epoch': 0.6}
{'loss': 0.4235, 'learning_rate': 0.0008493150684931506, 'epoch': 0.6}
{'loss': 0.4046, 'learning_rate': 0.0008481735159817352, 'epoch': 0.61}
{'loss': 0.4975, 'learning_rate': 0.0008470319634703196, 'epoch': 0.61}
{'loss': 0.4005, 'learning_rate': 0.0008458904109589041, 'epoch': 0.62}
{'loss': 0.447, 'learning_rate': 0.0008447488584474886, 'epoch': 0.62}
{'loss': 0.3609, 'learning_rate': 0.000843607305936073, 'epoch': 0.63}
{'loss': 0.4579, 'learning_rate': 0.0008424657534246575, 'epoch': 0.63}
{'loss': 0.4488, 'learning_rate': 0.0008413242009132421, 'epoch': 0.63}
{'loss': 0.461, 'learning_rate': 0.0008401826484018265, 'epoch': 0.64}
{'loss': 0.4518, 'learning_rate': 0.000839041095890411, 'epoch': 0.64}
{'loss': 0.3745, 'learning_rate': 0.0008378995433789955, 'epoch': 0.65}
{'loss': 0.4703, 'learning_rate': 0.00083675799086758, 'epoch': 0.65}
{'loss': 0.4819, 'learning_rate': 0.0008356164383561644, 'epoch': 0.66}
{'loss': 0.4223, 'learning_rate': 0.0008344748858447489, 'epoch': 0.66}
{'loss': 0.3951, 'learning_rate': 0.0008333333333333334, 'epoch': 0.67}
{'loss': 0.4005, 'learning_rate': 0.0008321917808219178, 'epoch': 0.67}
{'loss': 0.4908, 'learning_rate': 0.0008310502283105023, 'epoch': 0.68}
{'loss': 0.4376, 'learning_rate': 0.0008299086757990868, 'epoch': 0.68}
{'loss': 0.4227, 'learning_rate': 0.0008287671232876712, 'epoch': 0.68}
{'loss': 0.3972, 'learning_rate': 0.0008276255707762558, 'epoch': 0.69}
{'loss': 0.4628, 'learning_rate': 0.0008264840182648402, 'epoch': 0.69}
{'loss': 0.3977, 'learning_rate': 0.0008253424657534246, 'epoch': 0.7}
{'loss': 0.4069, 'learning_rate': 0.0008242009132420092, 'epoch': 0.7}
{'loss': 0.4387, 'learning_rate': 0.0008230593607305936, 'epoch': 0.71}
{'loss': 0.4316, 'learning_rate': 0.000821917808219178, 'epoch': 0.71}
{'loss': 0.4555, 'learning_rate': 0.0008207762557077626, 'epoch': 0.72}
{'loss': 0.4054, 'learning_rate': 0.000819634703196347, 'epoch': 0.72}
{'loss': 0.4406, 'learning_rate': 0.0008184931506849315, 'epoch': 0.73}
{'loss': 0.391, 'learning_rate': 0.000817351598173516, 'epoch': 0.73}
{'loss': 0.4456, 'learning_rate': 0.0008162100456621005, 'epoch': 0.74}
{'loss': 0.4215, 'learning_rate': 0.000815068493150685, 'epoch': 0.74}
{'loss': 0.4032, 'learning_rate': 0.0008139269406392695, 'epoch': 0.74}
{'loss': 0.4391, 'learning_rate': 0.0008127853881278539, 'epoch': 0.75}
{'loss': 0.4273, 'learning_rate': 0.0008116438356164384, 'epoch': 0.75}
{'loss': 0.4825, 'learning_rate': 0.0008105022831050229, 'epoch': 0.76}
{'loss': 0.3551, 'learning_rate': 0.0008093607305936074, 'epoch': 0.76}
{'loss': 0.3748, 'learning_rate': 0.0008082191780821918, 'epoch': 0.77}
{'loss': 0.3777, 'learning_rate': 0.0008070776255707763, 'epoch': 0.77}
{'loss': 0.4227, 'learning_rate': 0.0008059360730593608, 'epoch': 0.78}
{'loss': 0.4222, 'learning_rate': 0.0008047945205479452, 'epoch': 0.78}
{'loss': 0.4199, 'learning_rate': 0.0008036529680365297, 'epoch': 0.79}
{'loss': 0.3934, 'learning_rate': 0.0008025114155251142, 'epoch': 0.79}
{'loss': 0.4528, 'learning_rate': 0.0008013698630136986, 'epoch': 0.79}
{'loss': 0.4589, 'learning_rate': 0.0008002283105022832, 'epoch': 0.8}
{'loss': 0.4665, 'learning_rate': 0.0007990867579908676, 'epoch': 0.8}
{'loss': 0.4457, 'learning_rate': 0.000797945205479452, 'epoch': 0.81}
{'loss': 0.4131, 'learning_rate': 0.0007968036529680366, 'epoch': 0.81}
{'loss': 0.4244, 'learning_rate': 0.000795662100456621, 'epoch': 0.82}
{'loss': 0.5028, 'learning_rate': 0.0007945205479452054, 'epoch': 0.82}
{'loss': 0.4058, 'learning_rate': 0.00079337899543379, 'epoch': 0.83}
{'loss': 0.3684, 'learning_rate': 0.0007922374429223744, 'epoch': 0.83}
{'loss': 0.3905, 'learning_rate': 0.000791095890410959, 'epoch': 0.84}
{'loss': 0.4287, 'learning_rate': 0.0007899543378995434, 'epoch': 0.84}
{'loss': 0.3782, 'learning_rate': 0.0007888127853881279, 'epoch': 0.84}
{'loss': 0.3704, 'learning_rate': 0.0007876712328767124, 'epoch': 0.85}
{'loss': 0.4693, 'learning_rate': 0.0007865296803652968, 'epoch': 0.85}
{'loss': 0.3998, 'learning_rate': 0.0007853881278538813, 'epoch': 0.86}
{'loss': 0.4394, 'learning_rate': 0.0007842465753424658, 'epoch': 0.86}
{'loss': 0.4203, 'learning_rate': 0.0007831050228310502, 'epoch': 0.87}
{'loss': 0.4074, 'learning_rate': 0.0007819634703196348, 'epoch': 0.87}
{'loss': 0.4207, 'learning_rate': 0.0007808219178082192, 'epoch': 0.88}
{'loss': 0.4405, 'learning_rate': 0.0007796803652968036, 'epoch': 0.88}
{'loss': 0.4258, 'learning_rate': 0.0007785388127853882, 'epoch': 0.89}
{'loss': 0.3996, 'learning_rate': 0.0007773972602739726, 'epoch': 0.89}
{'loss': 0.4574, 'learning_rate': 0.000776255707762557, 'epoch': 0.89}
{'loss': 0.4721, 'learning_rate': 0.0007751141552511416, 'epoch': 0.9}
{'loss': 0.4194, 'learning_rate': 0.000773972602739726, 'epoch': 0.9}
{'loss': 0.4629, 'learning_rate': 0.0007728310502283105, 'epoch': 0.91}
{'loss': 0.5176, 'learning_rate': 0.000771689497716895, 'epoch': 0.91}
{'loss': 0.3995, 'learning_rate': 0.0007705479452054794, 'epoch': 0.92}
{'loss': 0.393, 'learning_rate': 0.0007694063926940639, 'epoch': 0.92}
{'loss': 0.4375, 'learning_rate': 0.0007682648401826484, 'epoch': 0.93}
{'loss': 0.4507, 'learning_rate': 0.0007671232876712328, 'epoch': 0.93}
{'loss': 0.36, 'learning_rate': 0.0007659817351598174, 'epoch': 0.94}
{'loss': 0.431, 'learning_rate': 0.0007648401826484019, 'epoch': 0.94}
{'loss': 0.4353, 'learning_rate': 0.0007636986301369864, 'epoch': 0.95}
{'loss': 0.3799, 'learning_rate': 0.0007625570776255708, 'epoch': 0.95}
{'loss': 0.4423, 'learning_rate': 0.0007614155251141553, 'epoch': 0.95}
{'loss': 0.4122, 'learning_rate': 0.0007602739726027398, 'epoch': 0.96}
{'loss': 0.4267, 'learning_rate': 0.0007591324200913242, 'epoch': 0.96}
{'loss': 0.4111, 'learning_rate': 0.0007579908675799087, 'epoch': 0.97}
{'loss': 0.4178, 'learning_rate': 0.0007568493150684932, 'epoch': 0.97}
{'loss': 0.4184, 'learning_rate': 0.0007557077625570776, 'epoch': 0.98}
{'loss': 0.4066, 'learning_rate': 0.0007545662100456622, 'epoch': 0.98}
{'loss': 0.4361, 'learning_rate': 0.0007534246575342466, 'epoch': 0.99}
{'loss': 0.415, 'learning_rate': 0.000752283105022831, 'epoch': 0.99}
{'loss': 0.3951, 'learning_rate': 0.0007511415525114156, 'epoch': 1.0}
{'loss': 0.464, 'learning_rate': 0.00075, 'epoch': 1.0}
{'loss': 0.4516, 'learning_rate': 0.0007488584474885844, 'epoch': 1.0}
{'loss': 0.3882, 'learning_rate': 0.000747716894977169, 'epoch': 1.01}
{'loss': 0.4232, 'learning_rate': 0.0007465753424657534, 'epoch': 1.01}
{'loss': 0.4549, 'learning_rate': 0.0007454337899543378, 'epoch': 1.02}
{'loss': 0.4736, 'learning_rate': 0.0007442922374429224, 'epoch': 1.02}
{'loss': 0.4059, 'learning_rate': 0.0007431506849315068, 'epoch': 1.03}
{'loss': 0.4076, 'learning_rate': 0.0007420091324200913, 'epoch': 1.03}
{'loss': 0.452, 'learning_rate': 0.0007408675799086759, 'epoch': 1.04}
{'loss': 0.4049, 'learning_rate': 0.0007397260273972603, 'epoch': 1.04}
{'loss': 0.3994, 'learning_rate': 0.0007385844748858448, 'epoch': 1.05}
{'loss': 0.4133, 'learning_rate': 0.0007374429223744293, 'epoch': 1.05}
{'loss': 0.4097, 'learning_rate': 0.0007363013698630137, 'epoch': 1.05}
{'loss': 0.4238, 'learning_rate': 0.0007351598173515982, 'epoch': 1.06}
{'loss': 0.4057, 'learning_rate': 0.0007340182648401827, 'epoch': 1.06}
{'loss': 0.4359, 'learning_rate': 0.0007328767123287672, 'epoch': 1.07}
{'loss': 0.4242, 'learning_rate': 0.0007317351598173516, 'epoch': 1.07}
{'loss': 0.437, 'learning_rate': 0.0007305936073059361, 'epoch': 1.08}
{'loss': 0.4423, 'learning_rate': 0.0007294520547945206, 'epoch': 1.08}
{'loss': 0.4218, 'learning_rate': 0.000728310502283105, 'epoch': 1.09}
{'loss': 0.3768, 'learning_rate': 0.0007271689497716895, 'epoch': 1.09}
{'loss': 0.3951, 'learning_rate': 0.000726027397260274, 'epoch': 1.1}
{'loss': 0.3938, 'learning_rate': 0.0007248858447488584, 'epoch': 1.1}
{'loss': 0.4041, 'learning_rate': 0.000723744292237443, 'epoch': 1.11}
{'loss': 0.4701, 'learning_rate': 0.0007226027397260274, 'epoch': 1.11}
{'loss': 0.421, 'learning_rate': 0.0007214611872146118, 'epoch': 1.11}
{'loss': 0.4189, 'learning_rate': 0.0007203196347031964, 'epoch': 1.12}
{'loss': 0.4117, 'learning_rate': 0.0007191780821917808, 'epoch': 1.12}
{'loss': 0.3742, 'learning_rate': 0.0007180365296803652, 'epoch': 1.13}
{'loss': 0.4652, 'learning_rate': 0.0007168949771689499, 'epoch': 1.13}
{'loss': 0.3896, 'learning_rate': 0.0007157534246575343, 'epoch': 1.14}
{'loss': 0.4357, 'learning_rate': 0.0007146118721461188, 'epoch': 1.14}
{'loss': 0.4309, 'learning_rate': 0.0007134703196347033, 'epoch': 1.15}
{'loss': 0.4914, 'learning_rate': 0.0007123287671232877, 'epoch': 1.15}
{'loss': 0.3397, 'learning_rate': 0.0007111872146118722, 'epoch': 1.16}
{'loss': 0.4265, 'learning_rate': 0.0007100456621004567, 'epoch': 1.16}
{'loss': 0.3965, 'learning_rate': 0.0007089041095890411, 'epoch': 1.16}
{'loss': 0.4767, 'learning_rate': 0.0007077625570776256, 'epoch': 1.17}
{'loss': 0.3771, 'learning_rate': 0.00070662100456621, 'epoch': 1.17}
{'loss': 0.3959, 'learning_rate': 0.0007054794520547946, 'epoch': 1.18}
{'loss': 0.3869, 'learning_rate': 0.000704337899543379, 'epoch': 1.18}
{'loss': 0.4186, 'learning_rate': 0.0007031963470319634, 'epoch': 1.19}
{'loss': 0.4554, 'learning_rate': 0.000702054794520548, 'epoch': 1.19}
{'loss': 0.4104, 'learning_rate': 0.0007009132420091324, 'epoch': 1.2}
{'loss': 0.4206, 'learning_rate': 0.0006997716894977168, 'epoch': 1.2}
{'loss': 0.4481, 'learning_rate': 0.0006986301369863014, 'epoch': 1.21}
{'loss': 0.4072, 'learning_rate': 0.0006974885844748858, 'epoch': 1.21}
{'loss': 0.3811, 'learning_rate': 0.0006963470319634703, 'epoch': 1.21}
{'loss': 0.4374, 'learning_rate': 0.0006952054794520548, 'epoch': 1.22}
{'loss': 0.4095, 'learning_rate': 0.0006940639269406392, 'epoch': 1.22}
{'loss': 0.4064, 'learning_rate': 0.0006929223744292237, 'epoch': 1.23}
{'loss': 0.4323, 'learning_rate': 0.0006917808219178082, 'epoch': 1.23}
{'loss': 0.435, 'learning_rate': 0.0006906392694063926, 'epoch': 1.24}
{'loss': 0.3978, 'learning_rate': 0.0006894977168949772, 'epoch': 1.24}
{'loss': 0.3995, 'learning_rate': 0.0006883561643835617, 'epoch': 1.25}
{'loss': 0.3977, 'learning_rate': 0.0006872146118721462, 'epoch': 1.25}
{'loss': 0.4067, 'learning_rate': 0.0006860730593607306, 'epoch': 1.26}
{'loss': 0.3699, 'learning_rate': 0.0006849315068493151, 'epoch': 1.26}
{'loss': 0.4563, 'learning_rate': 0.0006837899543378996, 'epoch': 1.26}
{'loss': 0.3817, 'learning_rate': 0.000682648401826484, 'epoch': 1.27}
{'loss': 0.3825, 'learning_rate': 0.0006815068493150685, 'epoch': 1.27}
{'loss': 0.4481, 'learning_rate': 0.000680365296803653, 'epoch': 1.28}
{'loss': 0.4194, 'learning_rate': 0.0006792237442922374, 'epoch': 1.28}
{'loss': 0.4098, 'learning_rate': 0.000678082191780822, 'epoch': 1.29}
{'loss': 0.43, 'learning_rate': 0.0006769406392694064, 'epoch': 1.29}
{'loss': 0.3986, 'learning_rate': 0.0006757990867579908, 'epoch': 1.3}
{'loss': 0.3954, 'learning_rate': 0.0006746575342465754, 'epoch': 1.3}
{'loss': 0.3893, 'learning_rate': 0.0006735159817351598, 'epoch': 1.31}
{'loss': 0.4097, 'learning_rate': 0.0006723744292237442, 'epoch': 1.31}
{'loss': 0.4239, 'learning_rate': 0.0006712328767123288, 'epoch': 1.32}
{'loss': 0.413, 'learning_rate': 0.0006700913242009132, 'epoch': 1.32}
{'loss': 0.3557, 'learning_rate': 0.0006689497716894977, 'epoch': 1.32}
{'loss': 0.4401, 'learning_rate': 0.0006678082191780822, 'epoch': 1.33}
{'loss': 0.3686, 'learning_rate': 0.0006666666666666666, 'epoch': 1.33}
{'loss': 0.4497, 'learning_rate': 0.0006655251141552512, 'epoch': 1.34}
{'loss': 0.4287, 'learning_rate': 0.0006643835616438357, 'epoch': 1.34}
{'loss': 0.3704, 'learning_rate': 0.0006632420091324201, 'epoch': 1.35}
{'loss': 0.3882, 'learning_rate': 0.0006621004566210046, 'epoch': 1.35}
{'loss': 0.4368, 'learning_rate': 0.0006609589041095891, 'epoch': 1.36}
{'loss': 0.3969, 'learning_rate': 0.0006598173515981736, 'epoch': 1.36}
{'loss': 0.4623, 'learning_rate': 0.000658675799086758, 'epoch': 1.37}
{'loss': 0.4044, 'learning_rate': 0.0006575342465753425, 'epoch': 1.37}
{'loss': 0.4289, 'learning_rate': 0.000656392694063927, 'epoch': 1.37}
{'loss': 0.4252, 'learning_rate': 0.0006552511415525114, 'epoch': 1.38}
{'loss': 0.366, 'learning_rate': 0.0006541095890410959, 'epoch': 1.38}
{'loss': 0.3416, 'learning_rate': 0.0006529680365296804, 'epoch': 1.39}
{'loss': 0.3793, 'learning_rate': 0.0006518264840182648, 'epoch': 1.39}
{'loss': 0.4325, 'learning_rate': 0.0006506849315068494, 'epoch': 1.4}
{'loss': 0.4276, 'learning_rate': 0.0006495433789954338, 'epoch': 1.4}
{'loss': 0.3606, 'learning_rate': 0.0006484018264840182, 'epoch': 1.41}
{'loss': 0.4297, 'learning_rate': 0.0006472602739726028, 'epoch': 1.41}
{'loss': 0.4292, 'learning_rate': 0.0006461187214611872, 'epoch': 1.42}
{'loss': 0.4108, 'learning_rate': 0.0006449771689497716, 'epoch': 1.42}
{'loss': 0.4462, 'learning_rate': 0.0006438356164383562, 'epoch': 1.42}
{'loss': 0.3844, 'learning_rate': 0.0006426940639269406, 'epoch': 1.43}
{'loss': 0.4128, 'learning_rate': 0.0006415525114155251, 'epoch': 1.43}
{'loss': 0.4353, 'learning_rate': 0.0006404109589041097, 'epoch': 1.44}
{'loss': 0.482, 'learning_rate': 0.0006392694063926941, 'epoch': 1.44}
{'loss': 0.4626, 'learning_rate': 0.0006381278538812786, 'epoch': 1.45}
{'loss': 0.4094, 'learning_rate': 0.0006369863013698631, 'epoch': 1.45}
{'loss': 0.3995, 'learning_rate': 0.0006358447488584475, 'epoch': 1.46}
{'loss': 0.4018, 'learning_rate': 0.000634703196347032, 'epoch': 1.46}
{'loss': 0.4124, 'learning_rate': 0.0006335616438356165, 'epoch': 1.47}
{'loss': 0.3985, 'learning_rate': 0.000632420091324201, 'epoch': 1.47}
{'loss': 0.4254, 'learning_rate': 0.0006312785388127854, 'epoch': 1.47}
{'loss': 0.407, 'learning_rate': 0.0006301369863013699, 'epoch': 1.48}
{'loss': 0.4164, 'learning_rate': 0.0006289954337899544, 'epoch': 1.48}
{'loss': 0.4053, 'learning_rate': 0.0006278538812785388, 'epoch': 1.49}
{'loss': 0.4292, 'learning_rate': 0.0006267123287671232, 'epoch': 1.49}
{'loss': 0.3893, 'learning_rate': 0.0006255707762557078, 'epoch': 1.5}
{'loss': 0.4178, 'learning_rate': 0.0006244292237442922, 'epoch': 1.5}
{'loss': 0.4217, 'learning_rate': 0.0006232876712328768, 'epoch': 1.51}
{'loss': 0.3615, 'learning_rate': 0.0006221461187214612, 'epoch': 1.51}
{'loss': 0.4777, 'learning_rate': 0.0006210045662100456, 'epoch': 1.52}
